20200928_005604 0102 HK2 :0002012b t1506.9 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0000 FX20 M0 A0
20200928_005605 0103 HK2 :0002013b t1508.3 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0000 FX20 M0 A0
20200928_005605 0201 HK2 :0002021b t1508.8 W VM-127.0 RM 44.7 VE 70.0 RE 44.9 RS 44.0 P000 E0002 FX20 M47 A1
20200928_005606 0202 HK2 :0002022b t1509.4 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0000 FX20 M0 A0
20200928_005607 0203 HK2 :0002023b t1510.1 W VM-127.0 RM 45.6 VE 70.0 RE 45.9 RS 44.0 P000 E0000 FX20 M47 A1
20200928_141758 0301 HK2 :False
20200928_141806 0302 HK2 :False
20200928_141811 0303 HK2 :False
20200928_142101 0301 HK2 :False
20200928_142109 0302 HK2 :False
20200928_142116 0303 HK2 :False
20200928_142402 0301 HK2 :False
20200928_142410 0302 HK2 :False
20200928_142417 0303 HK2 :False
20200928_142659 0301 HK2 :False
20200928_142704 0302 HK2 :False
20200928_142712 0303 HK2 :False
20200928_143004 0301 HK2 :False
20200928_143009 0302 HK2 :False
20200928_143017 0303 HK2 :False
20200928_143304 0301 HK2 :False
20200928_143312 0302 HK2 :False
20200928_143318 0303 HK2 :False
20200928_143659 0301 HK2 :False
20200928_143704 0302 HK2 :False
20200928_143708 0303 HK2 :False
20200928_144002 0301 HK2 :False
20200928_144005 0302 HK2 :False
20200928_144013 0303 HK2 :False
20200928_144301 0301 HK2 :False
20200928_144306 0302 HK2 :False
20200928_144310 0303 HK2 :False
20200928_144601 0301 HK2 :False
20200928_144609 0302 HK2 :False
20200928_144617 0303 HK2 :False
20200928_144902 0301 HK2 :False
20200928_144910 0302 HK2 :False
20200928_144913 0303 HK2 :False
20200928_145205 0301 HK2 :False
20200928_145213 0302 HK2 :False
20200928_145220 0303 HK2 :False
20200928_145502 0301 HK2 :False
20200928_145508 0302 HK2 :False
20200928_145511 0303 HK2 :False
20200928_145807 0301 HK2 :False
20200928_145814 0302 HK2 :False
20200928_145822 0303 HK2 :False
20200928_150108 0301 HK2 :False
20200928_150113 0302 HK2 :False
20200928_150117 0303 HK2 :False
20200928_150406 0301 HK2 :False
20200928_150414 0302 HK2 :False
20200928_150422 0303 HK2 :False
20200928_150707 0301 HK2 :False
20200928_150713 0302 HK2 :False
20200928_150718 0303 HK2 :False
20200928_151006 0301 HK2 :False
20200928_151014 0302 HK2 :False
20200928_151021 0303 HK2 :False
20200928_151309 0301 HK2 :False
20200928_151315 0302 HK2 :False
20200928_151318 0303 HK2 :False
20200928_151610 0301 HK2 :False
20200928_151615 0302 HK2 :False
20200928_151621 0303 HK2 :False
20200928_151913 0301 HK2 :False
20200928_151920 0302 HK2 :False
20200928_151924 0303 HK2 :False
20200928_152211 0301 HK2 :False
20200928_152217 0302 HK2 :False
20200928_152225 0303 HK2 :False
20200928_152512 0301 HK2 :False
20200928_152520 0302 HK2 :False
20200928_152527 0303 HK2 :False
20200928_152813 0301 HK2 :False
20200928_152817 0302 HK2 :False
20200928_152824 0303 HK2 :False
20200928_153112 0301 HK2 :False
20200928_153120 0302 HK2 :False
20200928_153127 0303 HK2 :False
20200928_153415 0301 HK2 :False
20200928_153418 0302 HK2 :False
20200928_153426 0303 HK2 :False
20200928_153718 0301 HK2 :False
20200928_153725 0302 HK2 :False
20200928_153733 0303 HK2 :False
20200928_154017 0301 HK2 :False
20200928_154022 0302 HK2 :False
20200928_154030 0303 HK2 :False
20200928_154317 0301 HK2 :False
20200928_154325 0302 HK2 :False
20200928_154332 0303 HK2 :False
20200928_154618 0301 HK2 :False
20200928_154622 0302 HK2 :False
20200928_154625 0303 HK2 :False
20200928_154917 0301 HK2 :False
20200928_154925 0302 HK2 :False
20200928_154932 0303 HK2 :False
20200928_155220 0301 HK2 :False
20200928_155223 0302 HK2 :False
20200928_155227 0303 HK2 :False
20200928_155523 0301 HK2 :False
20200928_155530 0302 HK2 :False
20200928_155538 0303 HK2 :False
20200928_155819 0301 HK2 :False
20200928_155823 0302 HK2 :False
20200928_155827 0303 HK2 :False
20200928_160122 0301 HK2 :False
20200928_160130 0302 HK2 :False
20200928_160137 0303 HK2 :False
20200928_160423 0301 HK2 :False
20200928_160427 0302 HK2 :False
20200928_160430 0303 HK2 :False
20200928_160724 0301 HK2 :False
20200928_160732 0302 HK2 :False
20200928_160739 0303 HK2 :False
20200928_161027 0301 HK2 :False
20200928_161030 0302 HK2 :False
20200928_161036 0303 HK2 :False
20200928_161326 0301 HK2 :False
20200928_161331 0302 HK2 :False
20200928_161339 0303 HK2 :False
20200928_161627 0301 HK2 :False
20200928_161632 0302 HK2 :False
20200928_161638 0303 HK2 :False
20200928_161929 0301 HK2 :False
20200928_161937 0302 HK2 :False
20200928_161944 0303 HK2 :False
20200928_162226 0301 HK2 :False
20200928_162230 0302 HK2 :False
20200928_162235 0303 HK2 :False
20200928_162527 0301 HK2 :False
20200928_162535 0302 HK2 :False
20200928_162542 0303 HK2 :False
20200928_162830 0301 HK2 :False
20200928_162835 0302 HK2 :False
20200928_162839 0303 HK2 :False
20200928_163131 0301 HK2 :False
20200928_163136 0302 HK2 :False
20200928_163140 0303 HK2 :False
20200928_163433 0301 HK2 :False
20200928_163441 0302 HK2 :False
20200928_163449 0303 HK2 :False
20200928_163732 0301 HK2 :False
20200928_163736 0302 HK2 :False
20200928_163743 0303 HK2 :False
20200928_164035 0301 HK2 :False
20200928_164041 0302 HK2 :False
20200928_164044 0303 HK2 :False
20200928_164332 0301 HK2 :False
20200928_164335 0302 HK2 :False
20200928_164343 0303 HK2 :False
20200928_164637 0301 HK2 :False
20200928_164644 0302 HK2 :False
20200928_164652 0303 HK2 :False
20200928_164936 0301 HK2 :False
20200928_164939 0302 HK2 :False
20200928_164945 0303 HK2 :False
20200928_165236 0301 HK2 :False
20200928_165242 0302 HK2 :False
20200928_165250 0303 HK2 :False
20200928_165535 0301 HK2 :False
20200928_165539 0302 HK2 :False
20200928_165546 0303 HK2 :False
20200928_165840 0301 HK2 :False
20200928_165848 0302 HK2 :False
20200928_165855 0303 HK2 :False
20200928_170139 0301 HK2 :False
20200928_170144 0302 HK2 :False
20200928_170150 0303 HK2 :False
20200928_170442 0301 HK2 :False
20200928_170449 0302 HK2 :False
20200928_170457 0303 HK2 :False
20200928_170741 0301 HK2 :False
20200928_170744 0302 HK2 :False
20200928_170750 0303 HK2 :False
20200928_171043 0301 HK2 :False
20200928_171051 0302 HK2 :False
20200928_171059 0303 HK2 :False
20200928_171344 0301 HK2 :False
20200928_171348 0302 HK2 :False
20200928_171351 0303 HK2 :False
20200928_171641 0301 HK2 :False
20200928_171649 0302 HK2 :False
20200928_171656 0303 HK2 :False
20200928_171944 0301 HK2 :False
20200928_171948 0302 HK2 :False
20200928_171953 0303 HK2 :False
20200928_172245 0301 HK2 :False
20200928_172252 0302 HK2 :False
20200928_172300 0303 HK2 :False
20200928_172548 0301 HK2 :False
20200928_172555 0302 HK2 :False
20200928_172559 0303 HK2 :False
20200928_172846 0301 HK2 :False
20200928_172852 0302 HK2 :False
20200928_172900 0303 HK2 :False
20200928_173147 0301 HK2 :False
20200928_173153 0302 HK2 :False
20200928_173158 0303 HK2 :False
20200928_173450 0301 HK2 :False
20200928_173454 0302 HK2 :False
20200928_173457 0303 HK2 :False
20200928_173751 0301 HK2 :False
20200928_173757 0302 HK2 :False
20200928_173800 0303 HK2 :False
20200928_174048 0301 HK2 :False
20200928_174055 0302 HK2 :False
20200928_174101 0303 HK2 :False
20200928_174353 0301 HK2 :False
20200928_174358 0302 HK2 :False
20200928_174404 0303 HK2 :False
20200928_174649 0301 HK2 :False
20200928_174657 0302 HK2 :False
20200928_174705 0303 HK2 :False
20200928_174954 0301 HK2 :False
20200928_175000 0302 HK2 :False
20200928_175003 0303 HK2 :False
20200928_175251 0301 HK2 :False
20200928_175259 0302 HK2 :False
20200928_175304 0303 HK2 :False
20200928_175556 0301 HK2 :False
20200928_175604 0302 HK2 :False
20200928_175611 0303 HK2 :False
20200928_175855 0301 HK2 :False
20200928_175902 0302 HK2 :False
20200928_175910 0303 HK2 :False
20200928_180158 0301 HK2 :False
20200928_180205 0302 HK2 :False
20200928_180211 0303 HK2 :False
20200928_180455 0301 HK2 :False
20200928_180502 0302 HK2 :False
20200928_180510 0303 HK2 :False
20200928_180759 0301 HK2 :False
20200928_180805 0302 HK2 :False
20200928_180811 0303 HK2 :False
20200928_181058 0301 HK2 :False
20200928_181102 0302 HK2 :False
20200928_181109 0303 HK2 :False
20200928_181359 0301 HK2 :False
20200928_181407 0302 HK2 :False
20200928_181412 0303 HK2 :False
20200928_181658 0301 HK2 :False
20200928_181705 0302 HK2 :False
20200928_181713 0303 HK2 :False
20200928_182003 0301 HK2 :False
20200928_182010 0302 HK2 :False
20200928_182014 0303 HK2 :False
20200928_182302 0301 HK2 :False
20200928_182307 0302 HK2 :False
20200928_182313 0303 HK2 :False
20200928_182604 0301 HK2 :False
20200928_182612 0302 HK2 :False
20200928_182620 0303 HK2 :False
20200928_182901 0301 HK2 :False
20200928_182905 0302 HK2 :False
20200928_182910 0303 HK2 :False
20200928_183206 0301 HK2 :False
20200928_183214 0302 HK2 :False
20200928_183221 0303 HK2 :False
20200928_183505 0301 HK2 :False
20200928_183510 0302 HK2 :False
20200928_183518 0303 HK2 :False
20200928_183808 0301 HK2 :False
20200928_183813 0302 HK2 :False
20200928_183819 0303 HK2 :False
20200928_184105 0301 HK2 :False
20200928_184108 0302 HK2 :False
20200928_184112 0303 HK2 :False
20200928_184407 0301 HK2 :False
20200928_184415 0302 HK2 :False
20200928_184418 0303 HK2 :False
20200928_184706 0301 HK2 :False
20200928_184710 0302 HK2 :False
20200928_184715 0303 HK2 :False
20200928_185009 0301 HK2 :False
20200928_185017 0302 HK2 :False
20200928_185024 0303 HK2 :False
20200928_185310 0301 HK2 :False
20200928_185315 0302 HK2 :False
20200928_185319 0303 HK2 :False
20200928_185613 0301 HK2 :False
20200928_185620 0302 HK2 :False
20200928_185628 0303 HK2 :False
20200928_185914 0301 HK2 :False
20200928_185919 0302 HK2 :False
20200928_185925 0303 HK2 :False
20200928_190212 0301 HK2 :False
20200928_190220 0302 HK2 :False
20200928_190227 0303 HK2 :False
20200928_190515 0301 HK2 :False
20200928_190521 0302 HK2 :False
20200928_190526 0303 HK2 :False
20200928_190816 0301 HK2 :False
20200928_190824 0302 HK2 :False
20200928_190831 0303 HK2 :False
20200928_191113 0301 HK2 :False
20200928_191118 0302 HK2 :False
20200928_191126 0303 HK2 :False
20200928_191414 0301 HK2 :False
20200928_191417 0302 HK2 :False
20200928_191425 0303 HK2 :False
20200928_191717 0301 HK2 :False
20200928_191722 0302 HK2 :False
20200928_191726 0303 HK2 :False
20200928_192015 0301 HK2 :False
20200928_192019 0302 HK2 :False
20200928_192026 0303 HK2 :False
20200928_192320 0301 HK2 :False
20200928_192328 0302 HK2 :False
20200928_192333 0303 HK2 :False
20200928_192619 0301 HK2 :False
20200928_192623 0302 HK2 :False
20200928_192628 0303 HK2 :False
20200928_192922 0301 HK2 :False
20200928_192929 0302 HK2 :False
20200928_192935 0303 HK2 :False
20200928_193219 0301 HK2 :False
20200928_193226 0302 HK2 :False
20200928_193230 0303 HK2 :False
20200928_193524 0301 HK2 :False
20200928_193531 0302 HK2 :False
20200928_193537 0303 HK2 :False
20200928_193824 0301 HK2 :False
20200928_193830 0302 HK2 :False
20200928_193837 0303 HK2 :False
20200928_194125 0301 HK2 :False
20200928_194133 0302 HK2 :False
20200928_194140 0303 HK2 :False
20200928_194422 0301 HK2 :False
20200928_194428 0302 HK2 :False
20200928_194431 0303 HK2 :False
20200928_194727 0301 HK2 :False
20200928_194734 0302 HK2 :False
20200928_194742 0303 HK2 :False
20200928_195024 0301 HK2 :False
20200928_195027 0302 HK2 :False
20200928_195033 0303 HK2 :False
20200928_195327 0301 HK2 :False
20200928_195334 0302 HK2 :False
20200928_195342 0303 HK2 :False
20200928_195625 0301 HK2 :False
20200928_195631 0302 HK2 :False
20200928_195634 0303 HK2 :False
20200928_195928 0301 HK2 :False
20200928_195932 0302 HK2 :False
20200928_195939 0303 HK2 :False
20200928_200231 0301 HK2 :False
20200928_200237 0302 HK2 :False
20200928_200242 0303 HK2 :False
20200928_200528 0301 HK2 :False
20200928_200535 0302 HK2 :False
20200928_200543 0303 HK2 :False
20200928_200831 0301 HK2 :False
20200928_200836 0302 HK2 :False
20200928_200840 0303 HK2 :False
20200928_201129 0301 HK2 :False
20200928_201133 0302 HK2 :False
20200928_201141 0303 HK2 :False
20200928_201432 0301 HK2 :False
20200928_201440 0302 HK2 :False
20200928_201445 0303 HK2 :False
20200928_201733 0301 HK2 :False
20200928_201739 0302 HK2 :False
20200928_201744 0303 HK2 :False
20200928_202034 0301 HK2 :False
20200928_202042 0302 HK2 :False
20200928_202047 0303 HK2 :False
20200928_202333 0301 HK2 :False
20200928_202338 0302 HK2 :False
20200928_202342 0303 HK2 :False
20200928_202638 0301 HK2 :False
20200928_202645 0302 HK2 :False
20200928_202653 0303 HK2 :False
20200928_202934 0301 HK2 :False
20200928_202938 0302 HK2 :False
20200928_202944 0303 HK2 :False
20200928_203239 0301 HK2 :False
20200928_203247 0302 HK2 :False
20200928_203254 0303 HK2 :False
20200928_203536 0301 HK2 :False
20200928_203540 0302 HK2 :False
20200928_203545 0303 HK2 :False
20200930_100846 0301 HK2 :False
20200930_100854 0302 HK2 :False
20200930_100901 0303 HK2 :False
20200930_101008 0301 HK2 :False
20200930_101016 0302 HK2 :False
20200930_101023 0303 HK2 :False
20200930_101309 0301 HK2 :False
20200930_101316 0302 HK2 :False
20200930_101324 0303 HK2 :False
20200930_101610 0301 HK2 :False
20200930_101617 0302 HK2 :False
20200930_101625 0303 HK2 :False
20200930_101911 0301 HK2 :False
20200930_101918 0302 HK2 :False
20200930_101926 0303 HK2 :False
20200930_102239 0301 HK2 :False
20200930_102247 0302 HK2 :False
20200930_102254 0303 HK2 :False
20200930_102302 0301 HK2 :False
20200930_102309 0302 HK2 :False
20200930_102317 0303 HK2 :False
20200930_102603 0301 HK2 :False
20200930_102610 0302 HK2 :False
20200930_102618 0303 HK2 :False
20200930_162818 0101 HK2 :0002011b t1531.7 W VM-127.0 RM 56.3 VE 70.0 RE 56.3 RS 44.0 P018 E0000 FX20 M53 A3
20200930_162819 0102 HK2 :0002012b t1532.4 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0000 FX20 M0 A0
20200930_162819 0103 HK2 :0002013b t1533.0 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0000 FX20 M0 A0
20200930_162820 0201 HK2 :0002021b t1534.1 W VM-127.0 RM 44.4 VE 70.0 RE 44.8 RS 44.0 P001 E0000 FX20 M47 A1
20200930_162828 0202 HK2 :0002022b t1542.4 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0000 FX20 M0 A0
20200930_162829 0203 HK2 :0002023b t1543.1 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0000 FX20 M0 A0
20200930_162830 0301 HK2 :0002031b t1543.0 W VM-127.0 RM 45.3 VE 70.0 RE 45.8 RS 44.0 P004 E0000 FX20 M46 A1
20200930_162830 0302 HK2 :0002032b t1543.6 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0000 FX20 M0 A0
20200930_162831 0303 HK2 :0002033b t1544.3 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0000 FX20 M0 A0
20200930_162832 0401 HK2 :0002041b t1545.4 W VM-127.0 RM 45.0 VE 70.0 RE 45.3 RS 44.0 P008 E0000 FX20 M46 A1
20200930_162837 0402 HK2 :0002042b t1551.1 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0000 FX20 M0 A0
20200930_162838 0403 HK2 :False
