20201110_080809 0802 HK2 :0002082b t56692.7 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0004 FX20 M0 A0
20201110_080811 0803 HK2 :0002083b t56696.7 W VM-127.0 RM 27.0 VE 46.0 RE 22.6 RS 43.5 P376 E0004 FX20 M65 A1
20201110_080812 0901 HK2 :0002091b t56709.4 W VM-127.0 RM 30.6 VE 46.0 RE 29.1 RS 43.5 P348 E0000 FX20 M64 A1
20201110_080814 0902 HK2 :0002092b t56712.2 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0004 FX20 M0 A0
20201110_080815 0903 HK2 :0002093b t56712.9 W VM-127.0 RM 30.3 VE 46.0 RE 30.3 RS 43.5 P304 E0000 FX20 M54 A1
20201110_080816 0A01 HK2 :00020A1b t56701.4 W VM-127.0 RM 38.2 VE 46.0 RE 38.7 RS 43.5 P127 E0000 FX20 M57 A1
20201110_080818 0A02 HK2 :00020A2b t56703.6 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0000 FX20 M0 A0
20201110_080819 0A03 HK2 :00020A3b t56704.8 W VM-127.0 RM 38.5 VE 46.0 RE 39.2 RS 43.5 P128 E0004 FX20 M62 A1
20201110_080820 0B01 HK2 :00020B1b t56734.7 W VM-127.0 RM 43.3 VE 46.0 RE 42.8 RS 43.5 P179 E0004 FX20 M53 A1
20201110_080821 0B02 HK2 :00020B2b t56735.7 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0004 FX20 M0 A0
20201110_080821 0B03 HK2 :00020B3b t56736.4 W VM-127.0 RM 52.0 VE 46.0 RE 51.6 RS 43.5 P215 E0000 FX20 M54 A1
20201110_080822 0C01 HK2 :00020C1b t55833.8 W VM-127.0 RM 53.6 VE 46.0 RE 53.9 RS 43.5 P000 E0000 FX20 M70 A15
20201110_080823 0C02 HK2 :00020C2b t55834.8 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0000 FX20 M0 A0
20201110_080824 0C03 HK2 :00020C3b t55835.8 W VM-127.0 RM 42.6 VE 46.0 RE 42.3 RS 43.5 P211 E0000 FX20 M50 A1
20201110_080825 0D01 HK2 :00020D1b t56729.6 W VM-127.0 RM 20.1 VE 46.0 RE 20.8 RS 43.5 P274 E0004 FX20 M60 A1
20201110_080827 0D02 HK2 :00020D2b t56730.5 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0000 FX20 M0 A0
20201110_080828 0D03 HK2 :00020D3b t56732.0 W VM-127.0 RM 34.4 VE 46.0 RE 34.3 RS 43.5 P330 E0000 FX20 M58 A1
20201110_080829 0E01 HK2 :00020E1b t56709.0 W VM-127.0 RM 24.9 VE 46.0 RE 29.4 RS 43.5 P222 E0004 FX20 M62 A1
20201110_080830 0E02 HK2 :00020E2b t56710.0 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0004 FX20 M0 A0
20201110_080831 0E03 HK2 :00020E3b t56711.0 W VM-127.0 RM 36.1 VE 46.0 RE 35.9 RS 43.5 P139 E0000 FX20 M61 A1
20201110_080831 0F01 HK2 :00020F1b t56715.5 W VM-127.0 RM 31.9 VE 46.0 RE 35.9 RS 43.5 P193 E0000 FX20 M65 A1
20201110_080832 0F02 HK2 :00020F2b t56716.3 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0004 FX20 M0 A0
