20201116_100111 0A01 HK2 :00020A1b t567065.7 S VM-127.0 RM 47.7 VE-127.0 RE 50.4 RS 44.0 P888 E000E FX20 M472 A0
20201116_100113 0A02 HK2 :00020A2b t567066.3 S VM-127.0 RM-127.0 VE-127.0 RE 40.0 RS  0.0 P999 E0007 FX44 M719 A0
20201116_100114 0A03 HK2 :00020A3b t567068.2 S VM-127.0 RM 51.6 VE-127.0 RE 47.9 RS 44.0 P000 E0004 FX21 M281 A363
20201116_100117 0B01 HK2 :00020B1b t472003.9 S VM-127.0 RM 48.1 VE-127.0 RE 46.3 RS 44.0 P897 E0006 FX20 M522 A11
20201116_100118 0B02 HK2 :00020B2b t472006.1 S VM-127.0 RM-127.0 VE-127.0 RE 40.0 RS  0.0 P999 E0007 FX44 M718 A0
20201116_100119 0B03 HK2 :00020B3b t472007.0 S VM-127.0 RM 45.5 VE-127.0 RE 45.7 RS 44.0 P503 E0006 FX20 M230 A4
20201116_100119 0C01 HK2 :00020C1b t567283.5 S VM-127.0 RM 39.8 VE-127.0 RE 49.4 RS 44.0 P593 E0006 FX20 M490 A126
20201116_100120 0C02 HK2 :00020C2b t567284.5 S VM-127.0 RM-127.0 VE-127.0 RE 40.0 RS  0.0 P999 E0005 FX44 M709 A0
20201116_100121 0C03 HK2 :00020C3b t567284.9 S VM-127.0 RM 43.9 VE-127.0 RE 46.6 RS 44.0 P811 E0004 FX20 M176 A11
20201116_100125 1E01 HK2 :00021E1b t567075.4 W VM 54.8 RM 48.3 VE 70.0 RE 48.3 RS 45.7 P000 E0005 FX44 M8928982000 A0
20201116_100127 1E02 HK2 :00021E2b t581587.4 W VM-127.0 RM-127.0 VE 70.0 RE 40.0 RS  0.0 P999 E0005 FX44 M737 A0
20201116_100128 1E03 HK2 :00021E3b t581588.5 W VM-127.0 RM-127.0 VE 70.0 RE 40.0 RS  0.0 P999 E0005 FX44 M244 A0
20201116_100437 0101 HK2 :0002011b t508822.3 S VM-127.0 RM 46.8 VE-127.0 RE 47.2 RS 44.0 P761 E0006 FX20 M340 A0
20201116_100438 0102 HK2 :0002012b t508823.6 S VM-127.0 RM-127.0 VE-127.0 RE 40.0 RS  0.0 P999 E0005 FX44 M695 A0
20201116_100439 0103 HK2 :0002013b t508824.5 S VM-127.0 RM 45.5 VE-127.0 RE 50.1 RS 44.0 P466 E0004 FX20 M124 A0
